name,combo
Helen,1-7-8
Pearlie,2-1-3
Plummer,8-9-8
Presley,1-9-1
Rollo,3-6-9
Roswell,2-3-5
Ruffus,6-4-1
Sheldon,2-3-5
Tilman,1-5-6
York,6-9-6
Acie,6-3-9
Alfonso,4-6-1
Ashton,7-7-5
Burke,8-4-3
Cap,1-1-2
Casimiro,7-8-6
Collie,2-9-2
Curley,8-4-3
Dale,6-7-4
Dixon,6-6-3
Dominick,6-9-6
Garret,6-9-6
Gerrit,5-9-5
Griffin,9-6-6
Hall,1-5-6
Heber,1-1-2
Hurley,8-9-8
Isidore,2-5-7
Lorenza,3-7-1
Marian,2-9-2
Maud,4-8-3
Maude,9-8-8
Murphy,3-8-2
Obe,2-2-4
Orla,7-3-1
Orlo,3-3-6
Orrie,2-9-2
Sebastian,7-2-9
Starling,1-9-1
Tolbert,2-9-2
Whit,9-6-6
Adrien,6-9-6
Alto,7-5-3
Angelo,3-6-9
Antone,3-3-6
Arden,6-9-6
Atticus,4-8-3
Belton,2-3-5
Bertha,6-3-9
Blair,1-5-6
Burrell,8-8-7
Callie,6-9-6
Campbell,6-4-1
Champ,1-4-5
Coley,2-4-6
Conway,7-4-2
Craig,1-1-2
Dalton,7-5-3
Darrell,6-1-7
Darwin,1-5-6
Dennie,1-5-6
Ebb,5-4-9
Ebbie,1-4-5
Edna,6-9-6
Ellison,2-3-5
Elonzo,8-7-6
Emit,5-6-2
Emry,5-2-7
Ephram,6-1-7
Esequiel,9-3-3
Essie,1-2-3
Esta,6-3-9
Evertt,1-8-9
Garner,6-3-9
Garnett,6-7-4
Graham,2-1-3
Gregg,5-3-8
Halbert,6-6-3
Harvie,6-3-9
Harvy,1-1-2
Hubbard,4-7-2
Jared,6-5-2
Jere,1-1-2
Joesph,2-8-1
Johnathan,8-2-1
Juluis,6-5-2
Kirby,9-2-2
Kyle,5-3-8
Lane,6-8-5
Lawerence,7-7-5
Less,5-5-1
Linwood,3-8-2
Louise,5-4-9
Lowell,2-5-7
Loy,6-1-7
Lucy,3-4-7
Manly,1-1-2
Mannie,6-5-2
Marcel,6-1-7
Marius,4-5-9
Marrion,7-9-7
Mercer,1-7-8
Monte,2-2-4
Montgomery,8-2-1
Nolan,7-4-2
Okey,2-9-2
Page,6-5-2
Philo,6-9-6
Primus,3-3-6
Prosper,2-6-8
Pryor,6-5-2
Rene,1-5-6
Robin,6-7-4
Roll,6-6-3
Seward,6-1-7
Shannon,7-6-4
Talmage,7-7-5
Vaughn,4-6-1
Verner,1-9-1
Waverly,6-1-7
Weldon,2-8-1
Wells,5-3-8
Wiliam,1-3-4
Wing,9-8-8
Wood,3-9-3
Wright,9-4-4
Add,1-8-9
Adelard,7-2-9
Cleve,1-1-2
Linus,3-9-3
Martha,2-5-7
Reinhold,2-2-4
Junior,9-6-6
Ace,6-3-9
Armstead,7-2-9
Benedict,1-7-8
Brice,5-5-1
