name,combo
FARRIS,1-7-8
CORREA,3-3-6
TILLMAN,1-8-9
SWEET,1-8-9
KESSLER,1-7-8
ENGLAND,6-6-3
HEWITT,5-8-4
BLANCO,7-4-2
CONNOLLY,3-8-2
PATE,6-9-6
ELDER,1-7-8
BRUNO,9-7-7
HOLCOMB,3-2-5
HYDE,5-1-6
MCALLISTER,6-7-4
CASH,1-3-4
CHRISTOPHER,2-2-4
WHITFIELD,5-1-6
MEEKS,1-7-8
HATCHER,6-3-9
FINK,9-4-4
SUTHERLAND,9-5-5
NOEL,2-8-1
RITCHIE,5-4-9
ROSA,7-1-8
LEAL,6-6-3
JOYNER,2-4-6
STARR,1-3-4
MORIN,6-9-6
DELAROSA,4-8-3
CONNOR,3-4-7
HILTON,6-9-6
ALSTON,7-2-9
GILLIAM,1-8-9
WYNN,7-6-4
WILLS,9-3-3
JARAMILLO,8-2-1
ONEIL,2-8-1
NIEVES,1-1-2
BRITTON,6-2-8
RANKIN,1-3-4
BELCHER,1-7-8
GUY,3-5-8
CHAMBERLAIN,7-7-5
TYSON,6-6-3
PUCKETT,8-7-6
DOWNING,6-8-5
SHARPE,6-7-4
BOGGS,6-8-5
TRUONG,9-5-5
PIERSON,2-4-6
GODFREY,2-6-8
MOBLEY,2-7-9
JOHN,6-5-2
